annotation,gene,CAZp_B2,CAZp_D2,CAZp_D4,CAZp_E3,CAZp_E1,CAZp_C11
deletion,NP_414560.1–NP_414563.1,0,0,0,0,0,0
A156T (GCC?ACC),NP_414604.1 ?,0,0,0,0,0,0
coding (155?164/294 nt),NP_414767.1 ?,0,0,0,0,0,0
IS,[crl],0,0,0,0,0,0
duplication,[NP_414793.1]–[NP_415189.1],0,1,1,1,0,1
coding (6/3075 nt),NP_414878.1 ?,0,0,0,0.044,0,0
duplication,[nmpC]–YP_025295.1,0,0,0,0,0,0
coding (37?46/1089 nt),NP_415449.1 ?,0,0,0,0,0,0
V174L (GTA?CTA),NP_415452.1 ?,0,0,1,0,0,0
V771G (GTT?GGT),NP_416734.1 ?,0,0,0,0,0,0
intergenic,NP_416797.2 ? / ? NP_416798.1,0,0,0,0,0,0
intergenic,NP_416957.4 ? / ? NP_416958.1,0,0,0,0,0,0
intergenic,NP_417082.1 ? / ? rrfG,0,0,0,0,0,0
I128N (ATC?AAC),NP_417221.1 ?,0,0,0,0,0,0
I95F (ATC?TTC),NP_417221.1 ?,0,0,0,0,0,0
Y145H (TAT?CAT),pbl ?,0,0,0,0,0,0
P119Q (CCA?CAA),YP_026213.1 ?,0,0,0,0,0,0
R251H (CGT?CAT),NP_417863.1 ?,0.992,0,0,0,0,0
V241G (GTA?GGA),NP_417863.1 ?,0,0,0,0.974,0,0
V145G (GTA?GGA),NP_417863.1 ?,0,0,0,0,0,0
T120P (ACG?CCG),NP_417863.1 ?,0,0,1,0,0,0
I86S (ATC?AGC),NP_417863.1 ?,0,1,0,0,0,0
L84Q (CTG?CAG),NP_417863.1 ?,0,0,0,0,0,0
F46V (TTT?GTT),NP_417863.1 ?,0,0,0,0,0,1
intergenic,NP_418062.1 ? / ? NP_418063.1,0,0,0,0,0,0.205
Y145S (TAC?TCC),YP_026241.1 ?,0,0,0,0,0,0
intergenic,NP_418449.1 ? / ? NP_418450.1,0,0,0,0,0,0
H162R (CAT?CGT),NP_418733.1 ?,0,0,0,0,0,0
intergenic,NP_418733.1 ? / ? NP_418734.1,0,0,0,0,0,0
insertion +3 (99),RNAI,0,0,0,0,0,0
G55U,RNAI,0,0,0,0,0,0
G54U,RNAI,0,0,0,0,0,0
U52C,RNAI,0,0,0,0,0,0
G17U,RNAI,0,0.622,0,0,0,0
U16G,RNAI,0,0,0,0,0,0
G11U,RNAI,0,0,0,0,0,0
R164S (CGT?AGT),bla ?,0,0,0,0,0,0
R164C (CGT?TGT),bla ?,0,0,0.499,0,0,0
R164H (CGT?CAT),bla ?,0,0,0,0,0.518,0
E166K (GAA?AAA),bla ?,0.995,0,0,0,0,0
D179G (GAC?GGC),bla ?,0,0,0,0,0,0.189
