gene,population,frequency
rpoB,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
rhsE,a7,NA
rhsE,a7,NA
rhsE,a7,NA
rhsE,a7,NA
rhsE,a7,12
yobF,a7,NA
gatC,a7,NA
rpoC,a7,NA
sapB,a7,NA
waaO,a7,NA
yicC,a7,NA
rho,a7,NA
yobF,a7,NA
ptsP,a7,NA
rpoC,a7,NA
ptsP,a7,NA
mutY,a7,NA
cspC,a7,NA
ptsP,a7,NA
secY,a7,NA
ptsP,a7,NA
rng,a7,NA
rpoB,a7,NA
yobF,a7,NA
ptsP,a7,NA
rpoB,a7,NA
rhsD,a7,NA
rhsD,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
icd,a7,NA
eamA,a7,NA
rpoC,a7,NA
pykF,a7,NA
ptsP,a7,NA
sapD,a7,NA
rpoB,a7,NA
sapD,a7,NA
rpoC,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
aceF,a7,NA
pcnB,a7,NA
pykF,a7,NA
proQ,a7,NA
rpoS,a7,NA
gcvT,a7,NA
ybcK,a7,NA
yiiX,a7,NA
uidA,a7,NA
yjgN,a7,NA
ptsP,a7,NA
sapA,a7,NA
mhpT,a7,NA
rpoB,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
rhsE,a8,NA
rhsE,a8,NA
rhsE,a8,NA
rhsE,a8,NA
rhsE,a8,NA
yobF,a8,NA
gatC,a8,NA
rpoC,a8,NA
sapB,a8,NA
waaO,a8,NA
yicC,a8,NA
rho,a8,NA
yobF,a8,NA
ptsP,a8,NA
rpoC,a8,NA
ptsP,a8,NA
mutY,a8,NA
cspC,a8,NA
ptsP,a8,NA
secY,a8,NA
ptsP,a8,NA
rng,a8,NA
rpoB,a8,NA
yobF,a8,NA
ptsP,a8,NA
rpoB,a8,NA
rhsD,a8,NA
rhsD,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
icd,a8,NA
eamA,a8,NA
rpoC,a8,NA
pykF,a8,NA
ptsP,a8,NA
sapD,a8,NA
rpoB,a8,NA
sapD,a8,NA
rpoC,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
aceF,a8,NA
pcnB,a8,NA
pykF,a8,NA
proQ,a8,NA
rpoS,a8,NA
gcvT,a8,NA
ybcK,a8,NA
yiiX,a8,NA
uidA,a8,NA
yjgN,a8,NA
ptsP,a8,NA
sapA,a8,NA
mhpT,a8,NA
rpoB,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
rhsE,a9,10
rhsE,a9,10
rhsE,a9,10
rhsE,a9,10
rhsE,a9,10
yobF,a9,NA
gatC,a9,NA
rpoC,a9,NA
sapB,a9,NA
waaO,a9,NA
yicC,a9,NA
rho,a9,NA
yobF,a9,10
ptsP,a9,NA
rpoC,a9,NA
ptsP,a9,NA
mutY,a9,NA
cspC,a9,NA
ptsP,a9,NA
secY,a9,NA
ptsP,a9,NA
rng,a9,NA
rpoB,a9,NA
yobF,a9,NA
ptsP,a9,NA
rpoB,a9,NA
rhsD,a9,NA
rhsD,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
icd,a9,NA
eamA,a9,NA
rpoC,a9,NA
pykF,a9,NA
ptsP,a9,NA
sapD,a9,NA
rpoB,a9,NA
sapD,a9,NA
rpoC,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
aceF,a9,NA
pcnB,a9,NA
pykF,a9,NA
proQ,a9,NA
rpoS,a9,NA
gcvT,a9,NA
ybcK,a9,NA
yiiX,a9,NA
uidA,a9,NA
yjgN,a9,NA
ptsP,a9,NA
sapA,a9,NA
mhpT,a9,NA
