annotation,gene,CAZp_A11.4,CAZp_A11.8,CAZp_A11.12,CAZp_A9.4,CAZp_A9.8,CAZp_A9.12,CAZp_C11.4,CAZp_C11.8,CAZp_C11.12,CAZp_D8.4,CAZp_D8.8,CAZp_D8.12,CAZp_E1.4,CAZp_E1.8,CAZp_E1.12,CAZp_G3.4,CAZp_G3.8,CAZp_G3.12,CAZp_H4.4,CAZp_H4.8,CAZp_H4.12
deletion,NP_414560.1–NP_414563.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A156T (GCC?ACC),NP_414604.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coding (155?164/294 nt),NP_414767.1 ?,0.938,0.929,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,[crl],0.985,0.951,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplication,[NP_414793.1]–[NP_415189.1],0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coding (6/3075 nt),NP_414878.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplication,[nmpC]–YP_025295.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coding (37?46/1089 nt),NP_415449.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.914,0,0,0,0,0,0
V174L (GTA?CTA),NP_415452.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V771G (GTT?GGT),NP_416734.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0
intergenic,NP_416797.2 ? / ? NP_416798.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intergenic,NP_416957.4 ? / ? NP_416958.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intergenic,NP_417082.1 ? / ? rrfG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.259
I128N (ATC?AAC),NP_417221.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I95F (ATC?TTC),NP_417221.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y145H (TAT?CAT),pbl ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.08,0,0,0,0,0,0
P119Q (CCA?CAA),YP_026213.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R251H (CGT?CAT),NP_417863.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V241G (GTA?GGA),NP_417863.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V145G (GTA?GGA),NP_417863.1 ?,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T120P (ACG?CCG),NP_417863.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I86S (ATC?AGC),NP_417863.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.104,0.22
L84Q (CTG?CAG),NP_417863.1 ?,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F46V (TTT?GTT),NP_417863.1 ?,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
intergenic,NP_418062.1 ? / ? NP_418063.1,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y145S (TAC?TCC),YP_026241.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666
intergenic,NP_418449.1 ? / ? NP_418450.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H162R (CAT?CGT),NP_418733.1 ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intergenic,NP_418733.1 ? / ? NP_418734.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insertion +3 (99),RNAI,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.175,0,0,0,0,0,0
G55U,RNAI,0,0,0.023,0,0,0.04,0,0,0.351,0,0,0,0,0,0,0,0,0.759,0,0.0095,0
G54U,RNAI,0,0,0,0,0,0.802,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0
U52C,RNAI,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0.018,0,0,0
G17U,RNAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U16G,RNAI,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G11U,RNAI,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
R164S (CGT?AGT),bla ?,0.11,0.608,0.993,0.209,0.828,0.999,0,0.811,0.994,0.492,0.934,1,0,0,0,0,0,0,0.517,0.999,1
R164C (CGT?TGT),bla ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R164H (CGT?CAT),bla ?,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.887,0.83,0.32,0.966,1,0,0,0
E166K (GAA?AAA),bla ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D179G (GAC?GGC),bla ?,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
