"population","gene","prop"
"1G_2","aas",17.662
"1G_2","abgT",1.033
"1G_1","aceE",1.786
"1G_2","acpT",9.735
"1G_2","acrB",1.389
"1G_2","actP",1.822
"1G_2","add",1.307
"1G_2","ade",6.281
"1G_2","adhE",25.867
"1G_1","adhE",14.147
"1G_2","adk",1.961
"1G_2","adrB",29.571
"1G_2","adrB",1.003
"1G_2","adrB",3.175
"1G_2","aegA",2.072
"1G_2","aes",1
"1G_1","aes",1.647
"1G_2","agaI",11.027
"1G_1","aidB",1.434
"1G_2","aidB",19.516
"1G_1","alaS",6.888
"1G_2","aldA",1.947
"1G_1","allB",17.625
"1G_1","alsC",2.918
"1G_1","alsK",7.832
"1G_2","amiA",1.301
"1G_2","amiB",2.778
"1G_2","amiD",9.799
"1G_1","ampC",1.336
"1G_2","ampE",19.669
"1G_1","ampG",1.512
"1G_1","amyA",6.983
"1G_1","anmK",2.795
"1G_1","anmK",3.371
"1G_1","anmK",9.392
"1G_1","araC",2.299
"1G_1","araE",5.166
"1G_2","araG",3.039
"1G_1","arcB",14.221
"1G_1","argG",1.728
"1G_2","argP",1.024
"1G_2","arnD",3.086
"1G_2","aroP",6.986
"1G_2","asd",5.357
"1G_2","aslB",3.273
"1G_1","asmA",1.562
"1G_2","asmA",2.296
"1G_2","asnB",24.163
"1G_2","asnC",1.455
"1G_1","atoC",1.405
"1G_2","avtA",1.209
"1G_2","azoR",1.282
"1G_1","baeR",14.346
"1G_2","barA",1.613
"1G_2","basR",3.565
"1G_1","bcr",8.386
"1G_1","bcsA",8.174
"1G_1","bcsA",1.053
"1G_1","bcsA",16.228
"1G_1","bcsC",1.004
"1G_2","bcsC",9.124
"1G_2","bcsC",17.904
"1G_1","bcsG",2.923
"1G_2","bcsG",1.188
"1G_1","bglA",15.009
"1G_2","bglH",1.338
"1G_2","bioA",23.81
"1G_1","cadA",1.049
"1G_1","cadC",53.052
"1G_2","caiB",1.471
"1G_2","caiC",1.053
"1G_2","casA",1.555
"1G_2","casA",16.667
"1G_2","casC",13.834
"1G_2","cbpM",9.235
"1G_2","cbrB",1.081
"1G_1","cca",1.092
"1G_2","cca",23.628
"1G_1","ccmC",8.633
"1G_1","cdsA",5.201
"1G_1","cdsA",10.167
"1G_2","chaA",1.246
"1G_2","chbF",1.29
"1G_2","chbF",4.883
"1G_2","chiA",1.188
"1G_2","cirA",1.113
"1G_1","clpA",99.059
"1G_1","clpA",1.707
"1G_2","clpB",1.068
"1G_1","cpsG",1.425
"1G_2","creB",22.182
"1G_2","csdA",1.918
"1G_1","csdE",2.114
"1G_2","csgG",2.257
"1G_1","csiD",1.147
"1G_1","csiE",1.096
"1G_1","cueO",5.347
"1G_2","cusC",1.522
"1G_2","cvrA",1.741
"1G_2","cyaA",1.222
"1G_2","cydA",8.177
"1G_2","cydA",30.627
"1G_2","cysH",1.158
"1G_1","cysI",1.326
"1G_1","cysJ",8.784
"1G_2","dacB",1.181
"1G_2","dacC",20.158
"1G_2","dacC",1.663
"1G_1","dadA",4.231
"1G_1","dadX",26.667
"1G_2","dcm",7.343
"1G_2","dcp",4.384
"1G_1","dcuA",1.055
"1G_2","dcuB",4.383
"1G_2","dcuC",1.443
"1G_1","ddlA",1.373
"1G_1","ddpC",1.689
"1G_1","ddpF",2.723
"1G_2","deaD",13.376
"1G_2","degP",1.126
"1G_2","deoB",1.25
"1G_2","dgoD",1.176
"1G_1","dgoK",3.138
"1G_2","dgsA",21.466
"1G_2","dgsA",2.406
"1G_2","dgt",1.074
"1G_1","dhaL",1.78
"1G_1","dhaL",1.149
"1G_2","dinB",1.247
"1G_2","dkgA",1.183
"1G_1","dnaB",1.44
"1G_1","dnaE",7.902
"1G_1","dnaG",1.089
"1G_2","dnaG",1.501
"1G_2","dnaN",1.357
"1G_1","dnaQ",6.861
"1G_2","dnaT",19.697
"1G_2","dnaT",28.365
"1G_2","dnaX",2.895
"1G_2","downstream fis",1.556
"1G_2","downstream fis",1.493
"1G_2","downstream fis",23.504
"1G_2","dppA",1.055
"1G_2","dppA",2.37
"1G_2","dppA",11.918
"1G_2","dsbA",21.198
"1G_2","dsbC",1.119
"1G_2","dtpD",23.272
"1G_1","dusA",13.319
"1G_2","dusA",1.732
"1G_2","dxs",1.714
"1G_1","dxs",99.785
"1G_1","ebgC",53.725
"1G_2","eda",1.325
"1G_2","edd",1
"1G_1","efeB",28.267
"1G_2","efeB",1.475
"1G_2","efp",1.064
"1G_2","elbB",2.283
"1G_2","elfC",1.915
"1G_1","elfG",1.677
"1G_2","emrD",2
"1G_2","entF",1.442
"1G_2","entF",2.718
"1G_2","entF",9.206
"1G_2","erfK",1.458
"1G_2","eutC",2.673
"1G_1","eutR",1.355
"1G_2","evgA",24.394
"1G_1","evgS",2.8
"1G_2","exuT",4.316
"1G_1","fabI",6.88
"1G_1","fabR",1.173
"1G_1","fadD",1.111
"1G_1","fadE",13.556
"1G_1","fadH",8.794
