A1-1,A3-1,B1-1,C1-1,C3-1,C3-2,D5-1,A5-1,A5-2,E1-1,E1-2,H1-1,H3-1,G3-1,G5-2,G5-1,Details,Gene (name uncleaned),Gene
,1,,,,,,,,,,,,,,,intergenic,dapB  /  carA,dapB / carA
1,1,,,,,,,,,,,,,,,L279L (CTC CTT) ,lptD (imp),lptD (imp)
,,,,,,,1,1,,,,,,,,coding (583/2907 nt),hepA,hepA
,,,,,,,,1,,,,,,,,intergenic,fruR  /  mraZ,fruR / mraZ
,,,,,,,,,1,,,,,,,G36D (GGT GAT) ,ftsZ ,ftsZ
,,,,,,,,,,,,,,,1,N49T (AAT ACT) ,ecpD ,ecpD
,,,,,,,,1,,,,,,,,G67A (GGC GCC) ,afuC ,afuC
,,1,,,,,,,,,,,,,,intergenic,ykgK  /  ykgL,ykgK / ykgL
,,1,,,,,,,,,,,,,,P147L (CCG CTG) ,tgt ,tgt
,,,,,,,,,1,1,,,,,,intergenic,yajQ  /  yajR,yajQ / yajR
,,,,,,,1,1,,,,,,,,intergenic,ybaN  /  apt,ybaN / apt
,,,,,,,,,1,1,,,,,,coding (363/552 nt),apt ,apt
,,,,,,,,,1,,,,,,,P450P (CCG CCT) ,ybbP ,ybbP
1,1,1,1,1,1,1,,,1,1,,,,,,F63V (TTC GTC) ,folD ,folD
,,,,,,,1,1,,,,,,,,intergenic,ybcQ  /  insH,ybcQ / insH
,,,,,,,,,,,,,,,1,D619E (GAT GAA) ,mrdA ,mrdA
,,,,,,,,,,,1,1,1,1,,insH-3 IS5 mediated,[hscC]–gltI,[hscC]–gltI
,,,,,,,,,,,,,,1,1,intergenic,gltA/sdhC,gltA/sdhC
,,,,,1,,,,,,,,,,,coding (391/1128 nt),rumB ,rumB
,,,,,,,,,,,1,1,1,1,,P102P (CCC CCT) ,ltaE ,ltaE
,,,1,1,1,1,,,,,,,,,,intergenic,pncB  /  pepN,pncB / pepN
,,,,,,1,,,,,,,,,,N385N (AAC AAT) ,icd ,icd
1,1,1,,,,,,,,,,,,,,intergenic,elbA  /  ycgX,elbA / ycgX
,,,,,,,,,,1,,,,,,coding (1160 1163/1212 nt),ycgF ,ycgF
1,1,1,,,,,,,,,,,,,,coding (79 82/267 nt),ariR(ymgB) ,ariR(ymgB)
,,,,,,,,,,,,1,1,,,A114A (GCG GCT) ,narH ,narH
,,,,,,,,,,,1,1,1,1,,intergenic,cysB  /  acnA,cysB / acnA
1,1,1,,,,,,,,,,,,,,coding (1021/1935 nt),rnb,rnb
,,,1,1,1,1,,,,,,,,,,E112G (GAG GGG) ,ycjM ,ycjM
,,,,,,,,,,,,,,,1,G354G (GGG GGA) ,paaE ,paaE
,,,,,,,,,,,1,1,1,1,,R383S (CGT AGT) ,hrpA ,hrpA
,,,,,,,1,1,,,,,,,,coding (428 431/3048 nt),fdnG ,fdnG
,,,,,,,,,,,1,1,1,,,intergenic,fdnI  /  yddM,fdnI / yddM
,,,,,,,,,,,1,1,1,1,,intergenic,fdnI  /  yddM,fdnI / yddM
,,,,,,,,,1,1,,,,,,intergenic,ddpX  /  dos,ddpX / dos
,,,,,,,,,,,1,1,1,1,,coding (2726 2729/2796 nt),pqqL ,pqqL
,,,,,,,,,,,1,1,1,1,,intergenic,yneL  /  hipA,yneL / hipA
,,,,,,,1,1,,,,,,,,coding inclusive deletion,[ydeA]–[ydeH],[ydeA]–[ydeH]
,,,,,,,,,,,1,1,1,1,,coding (91/1002 nt),add ,add
,,,,1,,,,,,,,,,,,intergenic,ydiK/ydiL,ydiK/ydiL
,,,,,,,,,,1,,,,,,coding (354 357/357 nt),ydiL ,ydiL
