Page Number of Search (B2),Who analyzed (if paper useful)?,Link,Paper Name,"Author, Year of Publication","Usefulness (1=useful, 2=promising, 3=unpromising)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. total muts,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")"
,MH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3758440/,Pervasive Genetic Hitchhiking and Clonal Interference in 40 Evolving Yeast Populations,"Lang, 2013",1,S. cerevisiae ,haploid,40,1000,,,YPD (environment mentioned in a previous study - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3176544/),Table S1 has mutation data for multiple generations.,"_ Didn't know where MH got this in the ""co-op"" folder, so TL will attribute this to CP screen.
_ Pop names: 
+ RMS: small populations (Ne = 105) in which sterility provides a 0.6% fitness advantage.
+ BYS: small populations where sterility provides a 1.5% advantage.
+ RMB: big populations (Ne = 106) where sterility provides a 0.6% advantage.
+ BYB: big populations where sterility provides a 1.5% advantage. ",CP
6,MH,https://aem.asm.org/content/83/2/e02736-16.short,Benzoate- and Salicylate-Tolerant Strains of E. coli K-12 Lose Antibiotic Resistance during Laboratory Evolution,"Creamer, 2016",1 - colourblock mutations and frequencies for 16 populations,E. coli K-12 (W3110),haploid,16,2000,,,"LBK, w/ benzoate in increasing concentrations (Gens 0-60: 5 mM, 60-90: 6 mM, 90-540: 10 mM, 540-1020: 12 mM, 1020-1210: 15 mM, 1210-1580: 18 mM &1580-3000: 20 mM.",,"_ Pop names: A1-1: Pop A1, clone 1.",B2
,MH,https://www.pnas.org/content/114/10/E1904,Specificity of genome evolution in experimental populations of E. coli evolved at different temperatures,"Deatherage, 2017",1 - Project TEE in aledb.,E. coli B,haploid,30,2000,,,"six in each of five different thermal regimes: constant 20 °C, 32 °C, 37 °C, 42 °C, and daily alternations between 32 °C and 42 °C. glucose-limited medium. Stressor: Temperature.","a table that lists the endpoint E. coli clones isolated from each TEE population at generation 2,000","_ Founding strains REL1206 & 1207 are isolated 2000 gens after LTEE of REL606. According to  https://cgsc2.biology.yale.edu/Strain.php?ID=121866, REL606 is ""Not a K-12 strain. This is an E. coli B derivative.""
_ Number of protein genes: 4209 (according to https://www.genome.jp/kegg-bin/show_organism?org=ebr).
_ A1-A5: 5 different temperature schemes.",A 
12,MH,https://elifesciences.org/articles/27167,Genetic variation in adaptability and pleiotropy in budding yeast,"Jerison, 2017","1 - ""estimated frequencies"", "">50% frequencies""",S. cerevisiae,haploid,"Pops from 35 founders seq'ed - See ""Additional comments"".",500,,,,xls provided below,"
_ ""Population"" col: 35 founders.
_ 230 founders (aka segregants in this paper), 8 populations established from each -> 1840. However, some wells were lost due to pipetting artifacts. These wells were
excluded from all analysis, leaving a total of 910 evolved lines in the OT environment and 839 in the
HT environment. -> 910 + 839 = 1749. 
_ 273 populations seq'ed descended from 35 founders in both environments (this excludes
7 populations descended from these founders lost due to pipetting artifacts). The founders selected for sequencing were chosen to ensure approximately equal representation of each parental KRE33 allele, but were otherwise random.
",B2
,MH,https://www.pnas.org/content/115/1/222,Dissecting the genetic and metabolic mechanisms of adaptation to the knockout of a major metabolic enzyme in Escherichia col,"Long, 2017",1,E.coli K-12 (MG1655),haploid,10,50 days,,,M9 minimal medium,"Dataset S1, tab ""mutations""",_ Founder: pgi deleted.,A 
,MH,https://academic.oup.com/mbe/article/31/10/2647/1011712,Evolution of E. coli to 42 °C and Subsequent Genetic Engineering Reveals Adaptive Mechanisms and Novel Mutations,"Sandberg, 2014",1,E.coli K-12 (MG1655),haploid,10,45 days,,,"42 degrees Celsius, glucose minimal medium",Dataset S1 .,,A 
,MH,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151130,Evolution of E. coli on [U-13C]Glucose Reveals a Negligible Isotopic Influence on Metabolism and Physiology,"Sandberg, 2016",1,E.coli K-12 (MG1655),haploid,6,Average of 963 generations.,,,glucose M9 minimal medium.,Charts of growth rate.and excel sheet with Physiological data of E. coli strains grown aerobically on glucose M9 minimal medium. sequency excel sheet showing where the mutation affects the allele. Stressor: 13C isotope.,"Timepoints in ""flasks"" - take average within ""early"", ""intermediate"", & ""late"" timepoints & scale 963 generations to average ""late"" flasks?",A 
,MH,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003972#s5,"Whole Genome, Whole Population Sequencing Reveals That Loss of Signaling Networks Is the Major Adaptive Strategy in a Constant Environment","Sherlock, 2013",1,S. cerevisiae S288c,haploid,3,448,120,,YPD. Stressor: Constant environment.,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1003972.s007&type=supplementary,"Is ""Kvitek, 2013"" in ""Screening""-""Payen2016"".",A 
,MH,https://www.biorxiv.org/content/10.1101/540625v2,"Evolutionary dynamics of de novo mutations and mutant lineages arising in a simple, constant environment","Sherlock, 2019",yes,E.coli JA122,haploid,3,500,,,"Davis minimal medium. Stressor: Constant, glucose-limited environment.",Supplementary Table S5.,"E. coli JA122 - how dif from K-12, how many genes?",A 
1,MH,https://www.nature.com/articles/nature18959#methods,"Tempo and mode of genome evolution in a 50,000 generation experiment","Tenaillon, 2016",1 - Do whole genome sequencing and ALE but don't provide frequencies of mutations. Project LTEE in aledb.,E. coli B,Haploid,12,"50,000","17,242","14572 point mutations, 500 IS mutations, (726 dels, 1132 in) < 50bp, (267 del, 45 dup) > 50bp.",Davis minimal medium with 25 μg/ml glucose,"Information on clones, and G scores",E. coli B - how many genes?,"B2, A"
