mutation,frequency,Gene,mutation_annotations,mutation_position,Population,mutation_locations,mutation_chromosome
DEL,1,entB,isochorismatase,627282,Evo04pgiEvo01EP,coding,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo01EP,cryptic prophage e14,1
DEL,1,adhE,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,1296579,Evo04pgiEvo01EP,coding,1
DEL,1,yciC,inner membrane protein; UPF0259 family,1311144,Evo04pgiEvo01EP,coding,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo01EP,coding,1
DEL,1,ackA,acetate kinase A and propionate kinase 2,2412527,Evo04pgiEvo01EP,coding,1
DEL,1,pta,phosphate acetyltransferase,2412802,Evo04pgiEvo01EP,coding,1
DEL,1,rseC,RseC protein involved in reduction of the SoxR iron-sulfur cluster,2705580,Evo04pgiEvo01EP,coding,1
DEL,1,truC,tRNA(Ile1;Asp) pseudouridine(65) synthase,2921131,Evo04pgiEvo01EP,coding,1
DEL,1,prkB,putative phosphoribulokinase,3482563,Evo04pgiEvo01EP,coding,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo02EP,cryptic prophage e14,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo02EP,coding,1
DEL,1,,,2763434,Evo04pgiEvo02EP,cryptic prophage CP4-57,1
SNP,1,soxR,DNA-binding transcriptional dual regulator; Fe-S center for redox-sensing,4275843,Evo04pgiEvo02EP,coding,1
MOB,1,lon,DNA-binding ATP-dependent protease La,458014,Evo04pgiEvo03EP,intergenic,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo03EP,cryptic prophage e14,1
DEL,1,marC;marR,inner membrane protein; UPF0056 family;DNA-binding transcriptional repressor of multiple antibiotic resistance,1617104,Evo04pgiEvo03EP,intergenic;intergenic,1
DEL,1,yfeR,putative DNA-binding transcriptional regulator,2524133,Evo04pgiEvo03EP,coding,1
INS,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62752,Evo04pgiEvo04EP,coding,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo04EP,cryptic prophage e14,1
DEL,1,ttcA,tRNA 2-thiocytidine biosynthesis protein,1409949,Evo04pgiEvo04EP,cryptic prophage Rac,1
DEL,1,pntB,pyridine nucleotide transhydrogenase; beta subunit,1673688,Evo04pgiEvo04EP,coding,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo04EP,coding,1
SNP,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3212437,Evo04pgiEvo04EP,coding,1
SNP,1,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047909,Evo04pgiEvo04EP,intergenic;intergenic,1
SNP,1,ybfE,conserved protein; LexA-regulated,710759,Evo04pgiEvo05EP,intergenic,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo05EP,cryptic prophage e14,1
DEL,1,ptsH,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),2531421,Evo04pgiEvo05EP,intergenic,1
DEL,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211592,Evo04pgiEvo05EP,coding,1
DEL,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62820,Evo04pgiEvo06EP,coding,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo06EP,cryptic prophage e14,1
SNP,1,zwf,glucose-6-phosphate 1-dehydrogenase,1934332,Evo04pgiEvo06EP,coding,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo06EP,coding,1
MOB,1,malT,DNA-binding transcriptional activator for the mal regulon and maltotriose-ATP-binding protein,3551125,Evo04pgiEvo06EP,coding,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo07EP,coding,1
DEL,1,galR,DNA-binding transcriptional repressor,2975584,Evo04pgiEvo07EP,coding,1
SNP,1,sthA,pyridine nucleotide transhydrogenase; soluble,4158136,Evo04pgiEvo07EP,coding,1
SNP,1,fabR,DNA-binding transcriptional repressor,4158877,Evo04pgiEvo07EP,intergenic,1
SNP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,Evo04pgiEvo08EP,cryptic prophage e14,1
DEL,1,yecJ;azuC,hypothetical protein;hypothetical protein,1985816,Evo04pgiEvo08EP,intergenic;intergenic,1
SNP,1,insH1,IS5 transposase and trans-activator,2064489,Evo04pgiEvo08EP,coding,1
SNP,1,rpoC,RNA polymerase; beta prime subunit,4184109,Evo04pgiEvo08EP,coding,1
MOB,0.9942,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047935,Evo04pgiEvo02EP,coding,1
MOB,0.9941,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047945,Evo04pgiEvo01EP,coding,1
MOB,0.9914,lon,DNA-binding ATP-dependent protease La,458014,Evo04pgiEvo05EP,intergenic,1
MOB,0.988,lon,DNA-binding ATP-dependent protease La,458014,Evo04pgiEvo04EP,intergenic,1
MOB,0.9877,yebK,putative DNA-binding transcriptional regulator,1935160,Evo04pgiEvo08EP,coding,1
MOB,0.9832,crr,glucose-specific enzyme IIA component of PTS,2534334,Evo04pgiEvo07EP,coding,1
MOB,0.9828,lon,DNA-binding ATP-dependent protease La,458014,Evo04pgiEvo02EP,intergenic,1
MOB,0.9801,lon,DNA-binding ATP-dependent protease La,458014,Evo04pgiEvo01EP,intergenic,1
MOB,0.9708,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047936,Evo04pgiEvo08EP,coding,1
MOB,0.9627,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047926,Evo04pgiEvo06EP,coding,1
MOB,0.9206,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047914,Evo04pgiEvo05EP,intergenic;intergenic,1
DEL,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62832,Evo04pgiEvo06EP,coding,1
DEL,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62833,Evo04pgiEvo06EP,coding,1
DEL,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62830,Evo04pgiEvo06EP,coding,1
DEL,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62831,Evo04pgiEvo06EP,coding,1
MOB,0.7456,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047882,Evo04pgiEvo03EP,intergenic;intergenic,1
SNP,0.675,zwf;yebK,glucose-6-phosphate 1-dehydrogenase;putative DNA-binding transcriptional regulator,1934672,Evo04pgiEvo03EP,intergenic;intergenic,1
MOB,0.6696,ycbC,conserved protein; DUF218 superfamily,972494,Evo04pgiEvo06EP,coding,1
