population,frequency,gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04pgiEvo01EP,1,ackA,acetate kinase A and propionate kinase 2,2412527,DEL,coding,1
Evo04pgiEvo03EP,0.14,ackA,acetate kinase A and propionate kinase 2,2411533,DEL,coding,1
Evo04pgiEvo03EP,0.216,alsE,allulose-6-phosphate 3-epimerase,4306378,SNP,coding,1
Evo04ptsHIcrrEvo03EP,0.738,araA,L-arabinose isomerase,67887,INS,coding,1
Evo04ptsHIcrrEvo03EP,0.738,araA,L-arabinose isomerase,67887,INS,coding,1
Evo04ptsHIcrrEvo01EP,1,argY,tRNA-Arg,2816219,AMP,coding,1
Evo04pgiEvo02EP,0.132,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598641,DEL,coding,1
Evo04pgiEvo02EP,0.235,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598890,DEL,coding,1
Evo04pgiEvo02EP,0.235,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598891,DEL,coding,1
Evo04tpiAEvo03EP,1,bcsA,cellulose synthase; catalytic subunit,3691745,DEL,coding,1
Evo04gndEvo01EP,0.125,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819659,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.125,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819662,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819666,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.11,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819670,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819673,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819675,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.103,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819677,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.104,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819680,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.104,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819681,SNP,intergenic;intergenic,1
Evo04ptsHIcrrEvo01EP,0.877,cpxA,sensory histidine kinase in two-component regulatory system with CpxR,4101677,DEL,coding,1
Evo04pgiEvo02EP,0.153,crp,DNA-binding transcriptional dual regulator,3484736,SNP,coding,1
Evo04pgiEvo06EP,0.124,crp,DNA-binding transcriptional dual regulator,3484730,SNP,coding,1
Evo04pgiEvo07EP,0.9832,crr,glucose-specific enzyme IIA component of PTS,2534334,MOB,coding,1
Evo04ptsHIcrrEvo01EP,1,cyaA,adenylate cyclase,3990540,DEL,coding,1
Evo04ptsHIcrrEvo03EP,1,cyaA,adenylate cyclase,3990728,MOB,coding,1
Evo04Evo01EP,0.77,cyoA;ampG,cytochrome o ubiquinol oxidase subunit II;muropeptide transporter,450867,SNP,intergenic;intergenic,1
Evo04Evo02EP,0.591,cysB,DNA-binding transcriptional dual regulator; O-acetyl-L-serine-binding,1332039,SNP,coding,1
Evo04sdhCBEvo02EP,0.162,cysD;iap,sulfate adenylyltransferase; subunit 2;aminopeptidase in alkaline phosphatase isozyme conversion,2874398,SNP,intergenic;intergenic,1
Evo04sdhCBEvo03EP,0.793,cysD;iap,sulfate adenylyltransferase; subunit 2;aminopeptidase in alkaline phosphatase isozyme conversion,2874448,SNP,intergenic;intergenic,1
Evo04pgiEvo05EP,0.3391,dauA,C4-dicarboxylic acid transporter,1258983,MOB,coding,1
Evo04pgiEvo01EP,1,entB,isochorismatase,627282,DEL,coding,1
Evo04ptsHIcrrEvo03EP,1,fliR;rcsA,flagellar export pore protein;DNA-binding transcriptional activator; co-regulator with RcsB,2021820,DEL,intergenic;intergenic,1
Evo04ptsHIcrrEvo01EP,0.136,frmR;yaiO,regulator protein that represses frmRAB operon;outer membrane protein,379237,DEL,intergenic;intergenic,1
Evo04ptsHIcrrEvo01EP,1,ftsI,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),92844,DEL,coding,1
Evo04pgiEvo07EP,1,galR,DNA-binding transcriptional repressor,2975584,DEL,coding,1
Evo04ptsHIcrrEvo04EP,1,galR,DNA-binding transcriptional repressor,2975602,SNP,coding,1
Evo04tpiAEvo01EP,1,galR,DNA-binding transcriptional repressor,2975617,INS,coding,1
Evo04tpiAEvo03EP,1,galR,DNA-binding transcriptional repressor,2974931,SNP,coding,1
Evo04ptsHIcrrEvo02EP,1,glk;yfeO,glucokinase;putative ion channel protein,2507519,SNP,intergenic;intergenic,1
Evo04ptsHIcrrEvo04EP,1,glk;yfeO,glucokinase;putative ion channel protein,2507493,SNP,intergenic;intergenic,1
Evo04tpiAEvo01EP,0.135,glk;yfeO,glucokinase;putative ion channel protein,2507499,SNP,intergenic;intergenic,1
Evo04sdhCBEvo02EP,1,glnD,uridylyltransferase,186134,INS,coding,1
Evo04sdhCBEvo03EP,0.362,glnD,uridylyltransferase,186409,SNP,coding,1
Evo04tpiAEvo03EP,0.11,glpT;glpA,sn-glycerol-3-phosphate transporter;sn-glycerol-3-phosphate dehydrogenase (anaerobic); large subunit; FAD/NAD(P)-binding,2350583,SNP,intergenic;intergenic,1
Evo04gndEvo02EP,0.2865,gntR;yhhW,DNA-binding transcriptional repressor;quercetinase activity in vitro,3576781,MOB,intergenic;intergenic,1
Evo04tpiAEvo01EP,1,htrE,putative outer membrane usher protein,153986,MOB,coding,1
Evo04sdhCBEvo01EP,0.3333,iap,aminopeptidase in alkaline phosphatase isozyme conversion,2874700,MOB,coding,1
Evo04sdhCBEvo02EP,0.6585,iap,aminopeptidase in alkaline phosphatase isozyme conversion,2874700,MOB,coding,1
Evo04pgiEvo01EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo02EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo03EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
