gene,population,frequency
crl,a3,2
thrA,a3,NA
cyoB,a3,NA
ybhN,a3,NA
lrp,a3,NA
chbF,a3,2
frc,a3,NA
eno,a3,2
eno,a3,NA
argP,a3,NA
tufA,a3,NA
cycA,a3,NA
thrA,a3,2
aroP,a3,2
pykF,a3,2
yodD,a3,2
malT,a3,NA
rpoB,a3,2
thrA,a3,NA
yojI,a3,NA
rpe,a3,NA
rho,a3,NA
gshA,a3,NA
lamB,a3,NA
crl,a4,2
thrA,a4,NA
cyoB,a4,2
ybhN,a4,NA
lrp,a4,NA
chbF,a4,2
frc,a4,NA
eno,a4,2
eno,a4,NA
argP,a4,NA
tufA,a4,NA
cycA,a4,NA
thrA,a4,NA
aroP,a4,NA
pykF,a4,NA
yodD,a4,NA
malT,a4,NA
rpoB,a4,NA
thrA,a4,2
yojI,a4,NA
rpe,a4,2
rho,a4,2
gshA,a4,NA
lamB,a4,NA
crl,a5,2
thrA,a5,2
cyoB,a5,2
ybhN,a5,2
lrp,a5,2
chbF,a5,2
frc,a5,2
eno,a5,2
eno,a5,2
argP,a5,2
tufA,a5,2
cycA,a5,2
thrA,a5,NA
aroP,a5,NA
pykF,a5,NA
yodD,a5,NA
malT,a5,NA
rpoB,a5,NA
thrA,a5,NA
yojI,a5,NA
rpe,a5,NA
rho,a5,NA
gshA,a5,NA
lamB,a5,NA
