gene,population,frequency
lptD imp,a1,1
hepA,a1,NA
ftsZ,a1,NA
ecpD,a1,NA
afuC,a1,NA
tgt,a1,NA
apt,a1,NA
ybbP,a1,NA
folD,a1,1
mrdA,a1,NA
rumB,a1,NA
ltaE,a1,NA
icd,a1,NA
ycgF,a1,NA
ariRymgB,a1,1
narH,a1,NA
rnb,a1,1
ycjM,a1,NA
paaE,a1,NA
hrpA,a1,NA
fdnG,a1,NA
pqqL,a1,NA
add,a1,NA
ydiL,a1,NA
chbC,a1,NA
yeaR,a1,NA
yeaS,a1,NA
cspC,a1,NA
yobF,a1,NA
yebG,a1,NA
hisG,a1,NA
wbbJ,a1,NA
mdtA,a1,NA
gatZ,a1,NA
dusC,a1,NA
yejM,a1,NA
purF,a1,NA
emrY,a1,NA
xseA,a1,NA
yfhM,a1,1
emrA,a1,NA
rpoS,a1,NA
fucA,a1,1
nupG,a1,NA
qseB,a1,NA
yqiG,a1,NA
yqiG,a1,NA
yqiH,a1,NA
rpoD,a1,NA
uxaA,a1,NA
prlF,a1,NA
sohA,a1,NA
rpoB,a1,1
cpxA,a1,NA
cpxA,a1,NA
cpxA,a1,1
rfaY,a1,NA
bcsB,a1,1
gadXgadE,a1,NA
gadX,a1,NA
gadX,a1,NA
gadX,a1,NA
yhiS,a1,NA
frlD,a1,NA
rpoA,a1,1
aceA,a1,NA
hfq,a1,NA
yjgN,a1,NA
idnR,a1,NA
fimE,a1,NA
fimE,a1,NA
fimA,a1,NA
fimA,a1,NA
deoD,a1,NA
rob,a1,NA
lptD imp,a3,1
hepA,a3,NA
ftsZ,a3,NA
ecpD,a3,NA
afuC,a3,NA
tgt,a3,NA
apt,a3,NA
ybbP,a3,NA
folD,a3,1
mrdA,a3,NA
rumB,a3,NA
ltaE,a3,NA
icd,a3,NA
ycgF,a3,NA
ariRymgB,a3,1
narH,a3,NA
rnb,a3,1
ycjM,a3,NA
paaE,a3,NA
hrpA,a3,NA
fdnG,a3,NA
pqqL,a3,NA
add,a3,NA
ydiL,a3,NA
chbC,a3,NA
yeaR,a3,NA
yeaS,a3,NA
cspC,a3,NA
yobF,a3,NA
yebG,a3,NA
hisG,a3,NA
wbbJ,a3,NA
mdtA,a3,NA
gatZ,a3,NA
dusC,a3,1
yejM,a3,NA
purF,a3,NA
emrY,a3,NA
xseA,a3,NA
yfhM,a3,1
emrA,a3,NA
rpoS,a3,NA
fucA,a3,1
nupG,a3,NA
qseB,a3,NA
yqiG,a3,NA
yqiG,a3,NA
yqiH,a3,NA
rpoD,a3,NA
uxaA,a3,NA
prlF,a3,NA
sohA,a3,NA
rpoB,a3,1
cpxA,a3,NA
cpxA,a3,NA
cpxA,a3,1
rfaY,a3,NA
bcsB,a3,1
gadXgadE,a3,NA
gadX,a3,NA
gadX,a3,NA
gadX,a3,NA
yhiS,a3,NA
frlD,a3,NA
rpoA,a3,1
aceA,a3,NA
hfq,a3,NA
yjgN,a3,NA
idnR,a3,NA
fimE,a3,NA
fimE,a3,NA
fimA,a3,NA
fimA,a3,NA
deoD,a3,NA
rob,a3,NA
lptD imp,b1,NA
hepA,b1,NA
ftsZ,b1,NA
ecpD,b1,NA
afuC,b1,NA
tgt,b1,1
apt,b1,NA
ybbP,b1,NA
folD,b1,1
mrdA,b1,NA
rumB,b1,NA
ltaE,b1,NA
icd,b1,NA
ycgF,b1,NA
ariRymgB,b1,1
narH,b1,NA
rnb,b1,1
ycjM,b1,NA
paaE,b1,NA
hrpA,b1,NA
fdnG,b1,NA
pqqL,b1,NA
add,b1,NA
ydiL,b1,NA
chbC,b1,NA
yeaR,b1,NA
yeaS,b1,NA
cspC,b1,NA
yobF,b1,NA
yebG,b1,NA
hisG,b1,NA
wbbJ,b1,1
mdtA,b1,NA
gatZ,b1,NA
dusC,b1,NA
yejM,b1,NA
purF,b1,NA
emrY,b1,NA
xseA,b1,NA
yfhM,b1,1
emrA,b1,NA
rpoS,b1,NA
fucA,b1,1
nupG,b1,NA
qseB,b1,NA
yqiG,b1,NA
yqiG,b1,NA
yqiH,b1,NA
rpoD,b1,NA
uxaA,b1,NA
prlF,b1,NA
sohA,b1,NA
rpoB,b1,1
cpxA,b1,NA
cpxA,b1,NA
cpxA,b1,1
rfaY,b1,NA
bcsB,b1,1
gadXgadE,b1,NA
gadX,b1,NA
gadX,b1,NA
gadX,b1,NA
yhiS,b1,NA
frlD,b1,NA
rpoA,b1,1
aceA,b1,NA
hfq,b1,NA
yjgN,b1,NA
idnR,b1,NA
fimE,b1,NA
fimE,b1,NA
fimA,b1,NA
fimA,b1,NA
deoD,b1,NA
rob,b1,NA
lptD imp,c1,NA
hepA,c1,NA
ftsZ,c1,NA
ecpD,c1,NA
afuC,c1,NA
tgt,c1,NA
apt,c1,NA
ybbP,c1,NA
folD,c1,1
mrdA,c1,NA
rumB,c1,NA
ltaE,c1,NA
icd,c1,NA
ycgF,c1,NA
ariRymgB,c1,NA
narH,c1,NA
rnb,c1,NA
ycjM,c1,1
paaE,c1,NA
hrpA,c1,NA
fdnG,c1,NA
pqqL,c1,NA
add,c1,NA
ydiL,c1,NA
chbC,c1,NA
yeaR,c1,NA
yeaS,c1,NA
cspC,c1,1
yobF,c1,NA
yebG,c1,NA
hisG,c1,NA
wbbJ,c1,NA
mdtA,c1,NA
gatZ,c1,NA
dusC,c1,NA
yejM,c1,1
purF,c1,NA
emrY,c1,NA
xseA,c1,NA
yfhM,c1,NA
emrA,c1,NA
rpoS,c1,NA
fucA,c1,NA
nupG,c1,NA
qseB,c1,NA
yqiG,c1,NA
yqiG,c1,NA
yqiH,c1,NA
rpoD,c1,NA
uxaA,c1,NA
prlF,c1,NA
sohA,c1,NA
rpoB,c1,NA
cpxA,c1,1
cpxA,c1,NA
cpxA,c1,NA
rfaY,c1,1
bcsB,c1,NA
gadXgadE,c1,NA
gadX,c1,NA
gadX,c1,NA
gadX,c1,NA
yhiS,c1,NA
frlD,c1,1
rpoA,c1,NA
aceA,c1,1
hfq,c1,NA
yjgN,c1,NA
idnR,c1,NA
fimE,c1,1
fimE,c1,NA
fimA,c1,1
fimA,c1,NA
deoD,c1,NA
rob,c1,NA
lptD imp,c3,NA
hepA,c3,NA
ftsZ,c3,NA
ecpD,c3,NA
afuC,c3,NA
tgt,c3,NA
apt,c3,NA
ybbP,c3,NA
folD,c3,2
mrdA,c3,NA
rumB,c3,NA
ltaE,c3,NA
icd,c3,NA
ycgF,c3,NA
ariRymgB,c3,NA
narH,c3,NA
rnb,c3,NA
ycjM,c3,2
paaE,c3,NA
hrpA,c3,NA
fdnG,c3,NA
pqqL,c3,NA
add,c3,NA
ydiL,c3,NA
chbC,c3,NA
yeaR,c3,NA
yeaS,c3,NA
cspC,c3,2
yobF,c3,NA
yebG,c3,NA
hisG,c3,NA
wbbJ,c3,NA
mdtA,c3,NA
gatZ,c3,NA
dusC,c3,NA
yejM,c3,NA
purF,c3,NA
emrY,c3,NA
xseA,c3,NA
yfhM,c3,NA
emrA,c3,NA
rpoS,c3,NA
fucA,c3,NA
nupG,c3,NA
qseB,c3,NA
yqiG,c3,NA
yqiG,c3,NA
yqiH,c3,NA
rpoD,c3,NA
uxaA,c3,NA
prlF,c3,NA
sohA,c3,NA
rpoB,c3,NA
cpxA,c3,NA
cpxA,c3,NA
cpxA,c3,NA
rfaY,c3,2
bcsB,c3,NA
gadXgadE,c3,NA
gadX,c3,NA
gadX,c3,NA
gadX,c3,NA
yhiS,c3,NA
frlD,c3,2
rpoA,c3,NA
aceA,c3,2
hfq,c3,NA
yjgN,c3,NA
idnR,c3,NA
fimE,c3,2
fimE,c3,NA
