"population","gene","prop"
"LVXD-RC","acrR",0.12
"ITCD-TC","alsB",0.09
"LVXD-TC","arsC",0.09
"CTRD-RC","cadA",0.06
"CTRD-RC","corA ",0.08
"LVXD-TC","crr",0.08
"LVXD-RC","crr",0.23
"ITCD-TC","cydA",0.13
"ITCD-TC","cydA",0.07
"ITCD-RC","cydA",0.06
"CTRD-RC","DR76_1162",0.1
"ITCD-TC","DR76_1360",0.1
"ITCD-RC","DR76_1360",0.12
"CTRD-TC","DR76_1398/alx ",0.07
"CTRD-RC","DR76_1398/alx ",0.17
"ITCD-TC","DR76_1409",0.15
"ITCD-TC","DR76_1460",0.22
"ITCD-RC","DR76_1460",0.15
"LVXD-RC","DR76_1499",0.07
"ITCD-RC","DR76_1541",0.1
"LVXD-TC","DR76_1615",0.05
"LVXD-RC","DR76_1615",0.06
"LVXD-TC","DR76_1679",0.1
"ITCD-RC","DR76_1861",0.07
"ITCD-TC","DR76_199 ",0.05
"CTRD-TC","DR76_2014",0.09
"CTRD-TC","DR76_2014",0.09
"CTRD-RC","DR76_2014",0.26
"CTRD-RC","DR76_2014",0.39
"CTRD-RC","DR76_2014",0.41
"CTRD-RC","DR76_2014",0.42
"ITCD-RC","DR76_2014",0.06
"ITCD-RC","DR76_2014",0.06
"LVXD-TC","DR76_2014",0.11
"LVXD-TC","DR76_2014",0.1
"LVXD-RC","DR76_2014",0.41
"LVXD-RC","DR76_2014",0.27
"LVXD-RC","DR76_2014",0.28
"LVXD-RC","DR76_2014",0.28
"ITCD-TC","DR76_2260",0.1
"LVXD-TC","DR76_2296",0.07
"LVXD-RC","DR76_230 / purF ",0.08
"ITCD-RC","DR76_2323",0.06
"ITCD-TC","DR76_2342",0.08
"ITCD-RC","DR76_2342",0.06
"ITCD-TC","DR76_2370",0.09
"ITCD-RC","DR76_2370",0.12
"ITCD-TC","DR76_238",0.08
"ITCD-TC","DR76_2409",0.09
"ITCD-RC","DR76_2449",0.06
"ITCD-TC","DR76_2620/nadC ",0.2
"ITCD-TC","DR76_2805",0.05
"LVXD-TC","DR76_2805",0.07
