Gene,Details,Population,Flask 23,Flask 58,Flask 133
murC,V13L (GTG?TTG) ,ALE1,0,0,0
pgaA,Q199* (CAA?TAA) ,ALE1,0,0,0
lolB/hemA,intergenic,ALE1,0,0,0
hns/tdk,intergenic,ALE1,0,0,0
hns/tdk,intergenic,ALE1,0,0,0
hns/tdk,intergenic,ALE1,0,0,1
hns/tdk,intergenic,ALE1,0,0,0
ycjV,pseudogene (664/957 nt),ALE1,0,0,0
rhsE,V429A (GTT?GCT),ALE1,0,0,0
rhsE,F431L (TTT?CTT),ALE1,0,0,0
rhsE,Y432Y (TAC?TAT),ALE1,0,0,0
rhsE,G438G (GGC?GGA),ALE1,0,0,0
rhsE,L443L (CTC?CTT),ALE1,0,0,0
lsrF,coding (49?53/876 nt),ALE1,0,0,0
pscG,coding (778?783/939 nt),ALE1,0,0,0
yfdI,coding (1274/1332 nt),ALE1,0,0,0
yfjR,coding (32/702 nt),ALE1,0,0,0
ygaY/ygaZ,intergenic,ALE1,0,0,0
barA,coding (2425/2757 nt),ALE1,0,0,0
ptsP,Q538L (CAG?CTG) ,ALE1,0,0,0
nirC,coding (414?426/807 nt),ALE1,0,0,0
pyrE/rph,intergenic,ALE1,0,0,0
pyrE/rph,intergenic,ALE1,0,0,0
pyrE/rph,intergenic,ALE1,0,1,0
pyrE/rph,intergenic,ALE1,0,0,1
rph,E205* (GAA?TAA) ,ALE1,0,0,0
emrD,E126K (GAA?AAA) ,ALE1,0,0,0
rffD,coding (771/1263 nt),ALE1,0,0,0
yihY,coding (627?638/873 nt),ALE1,0,0,0
rpoB,T657I (ACC?ATC) ,ALE1,0,0,0
rpoB,G1189C (GGT?TGT) ,ALE1,1,1,1
rpoC,P64L (CCG?CTG) ,ALE1,0,0,0
rpoC,coding (749/4224 nt),ALE1,0,0,0
yjjK,P82P (CCG?CCA) ,ALE1,0,0,0
mrdA,P481T (CCT?ACT) ,ALE1,0,0,0
murC,V13L (GTG?TTG) ,ALE2,0,0,1
pgaA,Q199* (CAA?TAA) ,ALE2,0,0,0
lolB/hemA,intergenic,ALE2,0,0,0
hns/tdk,intergenic,ALE2,0,0,0
hns/tdk,intergenic,ALE2,0,0,0
hns/tdk,intergenic,ALE2,0,0,0
hns/tdk,intergenic,ALE2,0,0,0
ycjV,pseudogene (664/957 nt),ALE2,0,0,0
rhsE,V429A (GTT?GCT),ALE2,0,0,1
rhsE,F431L (TTT?CTT),ALE2,0,0,1
rhsE,Y432Y (TAC?TAT),ALE2,0,0,1
rhsE,G438G (GGC?GGA),ALE2,0,0,1
rhsE,L443L (CTC?CTT),ALE2,0,0,1
lsrF,coding (49?53/876 nt),ALE2,0,0,0
pscG,coding (778?783/939 nt),ALE2,0,0,1
yfdI,coding (1274/1332 nt),ALE2,0,0,0
yfjR,coding (32/702 nt),ALE2,0,0,0
ygaY/ygaZ,intergenic,ALE2,0,0,0
barA,coding (2425/2757 nt),ALE2,0,0,1
ptsP,Q538L (CAG?CTG) ,ALE2,0,0,0
nirC,coding (414?426/807 nt),ALE2,0,0,1
pyrE/rph,intergenic,ALE2,0,1,0
pyrE/rph,intergenic,ALE2,0,0,1
pyrE/rph,intergenic,ALE2,0,0,0
pyrE/rph,intergenic,ALE2,0,0,0
rph,E205* (GAA?TAA) ,ALE2,1,0,0
emrD,E126K (GAA?AAA) ,ALE2,0,0,0
rffD,coding (771/1263 nt),ALE2,0,0,0
yihY,coding (627?638/873 nt),ALE2,0,0,0
rpoB,T657I (ACC?ATC) ,ALE2,0,0,1
rpoB,G1189C (GGT?TGT) ,ALE2,0,1,0
rpoC,P64L (CCG?CTG) ,ALE2,0,0,0
rpoC,coding (749/4224 nt),ALE2,0,0,0
yjjK,P82P (CCG?CCA) ,ALE2,0,0,0
mrdA,P481T (CCT?ACT) ,ALE2,0,0,0
murC,V13L (GTG?TTG) ,ALE3,0,0,0
pgaA,Q199* (CAA?TAA) ,ALE3,1,0,0
lolB/hemA,intergenic,ALE3,0,0,0
hns/tdk,intergenic,ALE3,0,0,0
hns/tdk,intergenic,ALE3,0,0,1
hns/tdk,intergenic,ALE3,0,0,0
hns/tdk,intergenic,ALE3,0,0,0
ycjV,pseudogene (664/957 nt),ALE3,0,0,0
rhsE,V429A (GTT?GCT),ALE3,0,0,0
rhsE,F431L (TTT?CTT),ALE3,0,0,0
rhsE,Y432Y (TAC?TAT),ALE3,0,0,0
rhsE,G438G (GGC?GGA),ALE3,0,0,0
rhsE,L443L (CTC?CTT),ALE3,1,0,0
lsrF,coding (49?53/876 nt),ALE3,0,0,0
pscG,coding (778?783/939 nt),ALE3,0,0,0
yfdI,coding (1274/1332 nt),ALE3,0,0,0
yfjR,coding (32/702 nt),ALE3,0,0,0
ygaY/ygaZ,intergenic,ALE3,0,0,0
barA,coding (2425/2757 nt),ALE3,0,0,0
ptsP,Q538L (CAG?CTG) ,ALE3,0,0,0
nirC,coding (414?426/807 nt),ALE3,0,0,0
pyrE/rph,intergenic,ALE3,0,0,0
pyrE/rph,intergenic,ALE3,1,0,0
pyrE/rph,intergenic,ALE3,0,0,0
pyrE/rph,intergenic,ALE3,0,1,1
rph,E205* (GAA?TAA) ,ALE3,0,0,0
emrD,E126K (GAA?AAA) ,ALE3,0,0,0
rffD,coding (771/1263 nt),ALE3,0,0,0
yihY,coding (627?638/873 nt),ALE3,0,0,0
rpoB,T657I (ACC?ATC) ,ALE3,0,0,0
rpoB,G1189C (GGT?TGT) ,ALE3,0,1,1
rpoC,P64L (CCG?CTG) ,ALE3,0,0,0
rpoC,coding (749/4224 nt),ALE3,0,0,0
yjjK,P82P (CCG?CCA) ,ALE3,0,1,0
mrdA,P481T (CCT?ACT) ,ALE3,0,0,0
murC,V13L (GTG?TTG) ,ALE4,0,0,0
pgaA,Q199* (CAA?TAA) ,ALE4,0,0,0
lolB/hemA,intergenic,ALE4,0,0,0
hns/tdk,intergenic,ALE4,0,0,0
hns/tdk,intergenic,ALE4,0,0,0
hns/tdk,intergenic,ALE4,0,0,0
hns/tdk,intergenic,ALE4,0,0,0
ycjV,pseudogene (664/957 nt),ALE4,0,0,0
rhsE,V429A (GTT?GCT),ALE4,0,0,0
rhsE,F431L (TTT?CTT),ALE4,0,0,0
rhsE,Y432Y (TAC?TAT),ALE4,0,0,0
rhsE,G438G (GGC?GGA),ALE4,0,0,0
rhsE,L443L (CTC?CTT),ALE4,0,0,0
lsrF,coding (49?53/876 nt),ALE4,0,0,0
pscG,coding (778?783/939 nt),ALE4,0,0,0
yfdI,coding (1274/1332 nt),ALE4,0,0,0
yfjR,coding (32/702 nt),ALE4,0,0,0
ygaY/ygaZ,intergenic,ALE4,0,0,1
barA,coding (2425/2757 nt),ALE4,0,0,0
ptsP,Q538L (CAG?CTG) ,ALE4,0,0,1
nirC,coding (414?426/807 nt),ALE4,0,0,0
pyrE/rph,intergenic,ALE4,0,0,0
pyrE/rph,intergenic,ALE4,0,1,0
pyrE/rph,intergenic,ALE4,0,0,0
pyrE/rph,intergenic,ALE4,0,0,1
rph,E205* (GAA?TAA) ,ALE4,0,0,0
emrD,E126K (GAA?AAA) ,ALE4,0,1,0
rffD,coding (771/1263 nt),ALE4,0,0,1
yihY,coding (627?638/873 nt),ALE4,0,0,0
rpoB,T657I (ACC?ATC) ,ALE4,0,0,0
rpoB,G1189C (GGT?TGT) ,ALE4,1,1,1
rpoC,P64L (CCG?CTG) ,ALE4,0,0,0
rpoC,coding (749/4224 nt),ALE4,0,0,0
yjjK,P82P (CCG?CCA) ,ALE4,0,0,0
mrdA,P481T (CCT?ACT) ,ALE4,0,0,0
murC,V13L (GTG?TTG) ,ALE5,0,0,0
pgaA,Q199* (CAA?TAA) ,ALE5,0,0,0
lolB/hemA,intergenic,ALE5,0,0,0
hns/tdk,intergenic,ALE5,0,0,0
hns/tdk,intergenic,ALE5,0,0,0
