population,selective_pressure,gene,frequency
1,Trimethoprim,acrA,1
2,Chloramphenicol,acrB,1
1,Chloramphenicol,acrB,1
4,Chloramphenicol,acrB,1
3,Chloramphenicol,acrB,1
5,Chloramphenicol,acrB,1
1,Trimethoprim,acrB,1
1,Doxycycline,acrR,1
2,Doxycycline,fis,1
1,Trimethoprim,folA,1
2,Trimethoprim,folA,1
3,Trimethoprim,folA,1
4,Trimethoprim,folA,1
5,Trimethoprim,folA,1
3,Doxycycline,lpxM,1
5,Doxycycline,manY,1
1,Chloramphenicol,marR,1
2,Doxycycline,marR,1
3,Doxycycline,marR,1
4,Doxycycline,marR,1
5,Doxycycline,marR,1
3,Chloramphenicol,cmr,1
5,Chloramphenicol,cmr,1
4,Chloramphenicol,cmr,1
5,Chloramphenicol,cmr,1
3,Chloramphenicol,ompR,1
4,Chloramphenicol,rob,1
4,Chloramphenicol,rplD,1
1,Trimethoprim,rpoB,1
1,Chloramphenicol,isrC,1
2,Doxycycline,acrR,1
1,Doxycycline,yedX,1
4,Doxycycline,rpoB,1
